_row_id,product_type,price,sales_volume,rating,reviews_numeric,predicted_baseline,predicted_modified,sales_lift_absolute,sales_lift_percentage,new_price,original_price,revenue_baseline,revenue_modified,revenue_lift_percentage,unit_economics_score
0,Kem chống nắng vật lý,350.89,4579.0,2.9,866.0,4292.398705081217,4225.867540634288,-66.53116444692841,-1.5499763423227846,298.25649999999996,350.89,1506159.781625948,1260392.4621331904,-16.317479890974372,-17.092468062135765
1,Kem chống nắng vật lý,286.54,241.0,5.0,998.0,593.6348292152625,589.6205673105005,-4.014261904761952,-0.676217382674208,243.559,286.54,170100.12396334132,143607.3957535782,-15.574784775273082,-15.912893466610186
2,Thực phẩm sạch,115.83,2383.0,2.5,934.0,2193.6052057253496,2030.4001288022723,-163.20507692307729,-7.44003873154153,98.4555,115.83,254085.29097916724,199904.05988129214,-21.324032921810293,-25.044052287581057
3,Mỹ phẩm tự nhiên,162.87,228.0,1.5,888.0,427.62554518327437,447.41260091864666,19.78705573537229,4.627192168066534,138.4395,162.87,69647.3725439999,61939.57676487699,-11.066886657143437,-8.75329057311017
4,Kem chống nắng vật lý,482.05,2166.0,2.3,272.0,2387.3632000920493,2465.088073769286,77.7248736772367,3.2556786363398698,409.7425,482.05,1150828.4306043724,1010051.3500664117,-12.232673159111116,-10.60483384094118
5,Nước hoa nữ,188.57,4555.0,3.0,635.0,3929.6950751042227,3947.800027933475,18.104952829252397,0.4607215695678938,160.28449999999998,188.57,741022.6003124033,632771.153577303,-14.608386665867299,-14.378025881083351
6,Sản phẩm chăm sóc thú cưng,459.99,285.0,1.9,221.0,409.250641025641,491.17053318250373,81.91989215686272,20.01704675441917,390.9915,459.99,188251.2023653846,192043.5035248269,2.014489741256287,12.023013118465872
7,Điện thoại thông minh,365.37,1327.0,2.5,109.0,2366.7310082377935,2429.3486132159433,62.61760497814976,2.645742366166622,310.5645,365.37,864732.5084798426,754469.4373891029,-12.751118988758359,-11.428247805675047
8,Nước tẩy trang,456.59,1795.0,3.4,247.0,1864.5279920915948,2208.711601533529,344.1836094419343,18.459557105165,388.1015,456.59,851324.8359091012,857204.285622565,0.6906235393902624,9.920402091972763
9,Bột ăn dặm,177.76,1311.0,1.1,509.0,1468.1928857825185,1438.163039462172,-30.02984632034645,-2.045361111005597,151.09599999999998,177.76,260985.9673767005,217300.6826105763,-16.738556944354773,-17.76123749985757
10,Đồ gỗ,449.28,2691.0,4.8,916.0,2290.8446023166025,2355.67464993565,64.83004761904749,2.8299626938243,381.888,449.28,1029230.6629288031,899603.8807146255,-12.594531710249345,-11.179550363337196
11,Sản phẩm làm sạch,416.57,50.0,2.6,505.0,277.45866715686276,386.9454943269627,109.48682717009996,39.46059003743465,354.0845,416.57,115580.95697753431,137011.40188601543,18.541501531819467,38.27179655053679
