_row_id,product_type,price,sales_volume,rating,reviews_numeric,predicted_baseline,predicted_modified,sales_lift_absolute,sales_lift_percentage,new_price,original_price,revenue_baseline,revenue_modified,revenue_lift_percentage,unit_economics_score
0,Kem chống nắng vật lý,350.89,4579.0,2.9,866.0,4292.398705081217,4173.870427481102,-118.52827760011496,-2.761352934428124,333.34549999999996,350.89,1506159.781625948,1391340.9245839014,-7.623285287706716,-9.003961754920779
1,Kem chống nắng vật lý,286.54,241.0,5.0,998.0,593.6348292152625,619.5998292152625,25.965000000000032,4.373901045247576,272.213,286.54,170100.12396334132,168663.12831017427,-0.8447940070147963,1.3421565156089919
2,Thực phẩm sạch,115.83,2383.0,2.5,934.0,2193.6052057253496,2148.4643723920162,-45.140833333333376,-2.0578376280068524,110.0385,115.83,254085.29097916724,236413.79684145888,-6.954945746606507,-7.983864560609933
3,Mỹ phẩm tự nhiên,162.87,228.0,1.5,888.0,427.62554518327437,442.72862599135516,15.10308080808079,3.531847191590909,154.7265,162.87,69647.3725439999,68501.8507494514,-1.6447451679886487,0.12117842780680577
4,Kem chống nắng vật lý,482.05,2166.0,2.3,272.0,2387.3632000920493,2368.9878144849026,-18.375385607146654,-0.7696937611519754,457.9475,482.05,1150828.4306043724,1084872.0471738249,-5.731209073094388,-6.116055953670376
5,Nước hoa nữ,188.57,4555.0,3.0,635.0,3929.6950751042227,3894.9795321386496,-34.71554296557315,-0.883415692619673,179.14149999999998,188.57,741022.6003124033,697752.4758566158,-5.839244907988701,-6.2809527542985375
6,Sản phẩm chăm sóc thú cưng,459.99,285.0,1.9,221.0,409.250641025641,465.2739498491704,56.02330882352936,13.68924155698984,436.9905,459.99,188251.2023653846,203320.2959815639,8.00477947914035,14.84940025763527
7,Điện thoại thông minh,365.37,1327.0,2.5,109.0,2366.7310082377935,2379.130786595663,12.399778357869309,0.5239200532172797,347.1015,365.37,864732.5084798426,825799.8647235344,-4.502275949443582,-4.240315922834942
8,Nước tẩy trang,456.59,1795.0,3.4,247.0,1864.5279920915948,2091.017238985568,226.48924689397313,12.147269864256716,433.7605,456.59,851324.8359091012,907000.6830909994,6.539906371043883,12.61354130317224
9,Bột ăn dặm,177.76,1311.0,1.1,509.0,1468.1928857825185,1458.3881238777562,-9.804761904762245,-0.6678115661578414,168.87199999999999,177.76,260985.9673767005,246280.91925548442,-5.634420987849962,-5.968326770928883
10,Đồ gỗ,449.28,2691.0,4.8,916.0,2290.8446023166025,2333.038792792793,42.19419047619067,1.841861749746013,426.816,449.28,1029230.6629288031,995778.2853846487,-3.2502313377412926,-2.329300462868286
11,Sản phẩm làm sạch,416.57,50.0,2.6,505.0,277.45866715686276,256.4393039533996,-21.019363203463172,-7.57567367379436,395.7415,416.57,115580.95697753431,101483.67480547428,-12.196889990104639,-15.984726827001818
12,Mỹ phẩm Nhật Bản,326.52,4035.0,3.4,126.0,3331.199867737927,3329.055423836241,-2.144443901685918,-0.06437451929721996,310.19399999999996,326.52,1087703.380813788,1032653.0181414589,-5.061155793332369,-5.093343052980979
13,Đồ dùng trẻ em,428.15,2514.0,3.3,11.0,2967.1737965374236,2967.1221248274906,-0.051671709933089005,-0.0017414453441651407,406.74249999999995,428.15,1270395.4609874978,1206854.6708576453,-5.001654373076967,-5.00252509574905
