product_type,product_name,sales_volume,price,sale_time,date,platform,brand,reviews,rating,is_promo
Bánh kẹo,Cross-group homogeneous intranet,3546.0,350.64,Tháng 10,2022-05-28,Shopee,Freeman,15,4.7,0
Bánh kẹo,Cross-platform encompassing algorithm,1021.0,108.47,Tháng 8,2022-01-11,Shopee,Dove,587,2.0,1
Bánh kẹo,Expanded transitional standardization,790.0,208.47,Tháng 1,2022-01-14,Shopee,Almay,596,3.2,0
Bánh kẹo,Exclusive contextually-based intranet,1538.0,386.04,Tháng 6,2022-02-13,Lazada,Paula's Choice,117,4.8,0
Bánh kẹo,Exclusive neutral artificial intelligence,1156.0,440.48,Tháng 10,2024-09-04,Shopee,Glade,242,4.8,0
Bánh kẹo,Synergized real-time workforce,1226.0,329.52,Tháng 3,2023-12-03,Lazada,Garnier SkinActive,9,2.0,0
Bánh kẹo,User-centric explicit contingency,3595.0,258.48,Tháng 2,2024-01-13,Shopee,Avène,172,4.1,0
Bánh kẹo,Synchronized attitude-oriented moderator,3557.0,369.77,Tháng 1,2022-08-24,Shopee,Bioré,278,2.8,0
Bánh kẹo,Down-sized heuristic approach,4172.0,182.59,Tháng 12,2022-10-10,Shopee,Tarte Cosmetics,93,4.4,1
Bánh kẹo,Operative national forecast,382.0,491.57,Tháng 9,2022-02-19,Shopee,Biore,251,1.6,0
Bánh kẹo,Compatible full-range Graphical User Interface,767.0,147.49,Tháng 3,2022-07-24,Shopee,Almay,937,2.4,1
Bánh kẹo,Exclusive multi-tasking synergy,93.0,75.67,Tháng 5,2024-08-14,Lazada,SK-II,54,1.7,1
Bánh kẹo,Streamlined disintermediate hub,4191.0,77.1,Tháng 7,2024-05-08,Shopee,Coca-Cola,21,4.9,1
Bánh kẹo,Phased contextually-based open architecture,1059.0,67.09,Tháng 8,2024-04-23,Shopee,Revlon Colorstay,626,2.2,1
Bánh kẹo,Assimilated bi-directional throughput,2658.0,488.8,Tháng 3,2023-09-16,Shopee,Althea,610,1.4,0
Bánh kẹo,Right-sized content-based workforce,3885.0,361.34,Tháng 5,2022-07-25,Shopee,L'Oreal Paris,701,2.7,0
Bánh kẹo,Advanced background standardization,2054.0,85.11,Tháng 9,2024-02-10,Shopee,Revlon,795,1.5,1
