_row_id,product_type,price,sales_volume,rating,reviews_numeric,predicted_baseline,predicted_modified,sales_lift_absolute,sales_lift_percentage,new_price,original_price,revenue_baseline,revenue_modified,revenue_lift_percentage,unit_economics_score
0,Kem chống nắng vật lý,350.89,4579.0,2.9,866.0,4292.398705081217,4247.570621747884,-44.82808333333287,-1.0443597254902415,368.4345,350.89,1506159.781625948,1564951.5582383708,3.9034222882352685,3.381242425490148
1,Kem chống nắng vật lý,286.54,241.0,5.0,998.0,593.6348292152625,625.7157257669867,32.08089655172421,5.404146618912602,300.867,286.54,170100.12396334132,188257.213264336,10.674353949858233,13.376427259314534
2,Thực phẩm sạch,115.83,2383.0,2.5,934.0,2193.6052057253496,2193.4712057253496,-0.13400000000001455,-0.006108665299037043,121.6215,115.83,254085.29097916724,266773.2582471256,4.993585901436011,4.990531568786492
3,Mỹ phẩm tự nhiên,162.87,228.0,1.5,888.0,427.62554518327437,466.24743620891536,38.62189102564099,9.031708105531484,171.01350000000002,162.87,69647.3725439999,79734.60593211335,14.483293510808066,18.999147563573807
4,Kem chống nắng vật lý,482.05,2166.0,2.3,272.0,2387.3632000920493,2685.5868883933313,298.223688301282,12.491760293942011,506.15250000000003,482.05,1150828.4306043724,1359316.5175275058,18.116348308639118,24.362228455610122
5,Nước hoa nữ,188.57,4555.0,3.0,635.0,3929.6950751042227,3863.048730182199,-66.64634492202367,-1.6959673371159996,197.9985,188.57,741022.6003124033,764877.8540029802,3.2192342960282025,2.3712506274702028
6,Sản phẩm chăm sóc thú cưng,459.99,285.0,1.9,221.0,409.250641025641,491.6416666666667,82.39102564102569,20.13216776754263,482.9895,459.99,188251.2023653846,237457.76276250003,26.138776155919768,36.204860039691084
7,Điện thoại thông minh,365.37,1327.0,2.5,109.0,2366.7310082377935,2506.525542573677,139.79453433588333,5.906650728338186,383.6385,365.37,864732.5084798426,961599.6993646516,11.201983264755109,14.155308628924201
8,Nước tẩy trang,456.59,1795.0,3.4,247.0,1864.5279920915948,1996.8415595519123,132.31356746031747,7.0963572561809825,479.41949999999997,456.59,851324.8359091012,957324.7820595979,12.451175118990031,15.999353747080523
9,Bột ăn dặm,177.76,1311.0,1.1,509.0,1468.1928857825185,1425.9446083099908,-42.24827747252766,-2.8775699624787476,186.648,177.76,260985.9673767005,266149.70925184316,1.978551539397312,0.5397665581579383
10,Đồ gỗ,449.28,2691.0,4.8,916.0,2290.8446023166025,2318.697935649936,27.853333333333467,1.2158543318550266,471.74399999999997,449.28,1029230.6629288031,1093831.8389552434,6.276647048447778,6.8845742143752915
11,Sản phẩm làm sạch,416.57,50.0,2.6,505.0,277.45866715686276,396.12045503565065,118.66178787878789,42.767374720971254,437.3985,416.57,115580.95697753431,173262.49285191105,49.90574345701984,71.28943081750546
12,Mỹ phẩm Nhật Bản,326.52,4035.0,3.4,126.0,3331.199867737927,3146.948547428607,-184.2513203093199,-5.531079719765868,342.846,326.52,1087703.380813788,1078918.7216917083,-0.8076337057541538,-3.573173565637088
13,Đồ dùng trẻ em,428.15,2514.0,3.3,11.0,2967.1737965374236,3031.6902034001687,64.51640686274504,2.1743386564694385,449.5575,428.15,1270395.4609874978,1362919.0686150712,7.283055589292912,8.370224917527631
14,Mặt nạ thiên nhiên,418.81,2031.0,3.9,675.0,1968.4741904761906,1974.5671904761905,6.092999999999847,0.30952907736757773,439.75050000000005,418.81,824416.6757133334,868316.9092955001,5.325005531235972,5.479770069919761
15,Sản phẩm dưỡng móng,275.49,2883.0,2.6,710.0,3132.622531629793,3160.330538574237,27.70800694444415,0.8844987439335263,289.2645,275.49,863006.1812386917,914171.4330754074,5.928723681130201,6.370973053096964
16,Sản phẩm bảo vệ môi trường,154.24,378.0,4.3,678.0,431.3915356882281,442.64060653843046,11.249070850202372,2.6076243782242896,161.95200000000003,154.24,66537.8304645523,71686.5315101119,7.7380055971355235,9.041817786247668
17,Nước tẩy trang,491.71,3043.0,2.5,978.0,2711.7512554541822,2592.381255454182,-119.37000000000035,-4.4019524194894295,516.2955,491.71,1333395.209819376,1338434.7764753443,0.37794995953607663,-1.823026250208638
18,Thiết bị thể thao,483.18,841.0,4.5,513.0,875.3134159431836,903.435336011211,28.121920068027407,3.212782936466816,507.33900000000006,483.18,422933.9363154275,458347.9799365918,8.373422083290158,9.979813551523566
19,Sản phẩm bảo vệ môi trường,20.41,1590.0,3.3,302.0,2348.1559692268115,2348.1559692268115,0.0,0.0,21.430500000000002,20.41,47925.86333191922,50322.15649851519,5.000000000000018,5.000000000000018
20,Mặt nạ thiên nhiên,462.92,2337.0,2.0,747.0,2207.7781111111112,2170.4726666666666,-37.305444444444674,-1.6897279784004162,486.06600000000003,462.92,1022024.6431955557,1054992.967196,3.2257856226795676,2.3809216334793595
21,Đồ dùng học tập,126.1,3375.0,3.7,236.0,3430.0033891590692,3354.167191266797,-75.83619789227214,-2.210965683939596,132.405,126.1,432523.4273729586,444108.5069596803,2.6784860318634305,1.5730031898936325
22,Mỹ phẩm hữu cơ,371.42,4425.0,4.5,122.0,3706.6106506465267,3198.7329400401945,-507.87771060633213,-13.701943863937945,389.99100000000004,371.42,1376709.327863133,1247477.0580192157,-9.387041057134835,-16.238012989103808
23,Giày dép,353.45,4496.0,4.5,289.0,4133.187927122803,3884.0332575800635,-249.15466954273916,-6.028147617187609,371.1225,353.45,1460875.2728415546,1441452.1326362572,-1.329554998046983,-4.343628806640788
24,Bánh ngọt,91.49,4391.0,2.6,830.0,4088.267927316236,4174.083927316236,85.81600000000026,2.099079647559562,96.0645,91.49,374035.6326701624,400981.2854356706,7.204033629937544,8.253573453717324
25,Dầu tẩy trang,326.5,3422.0,3.2,794.0,3353.469077634134,3338.066237266169,-15.402840367964927,-0.4593106425430826,342.825,326.5,1094907.6538475447,1144372.5577907744,4.517723825329767,4.288068504058226
26,Sản phẩm công nghệ,221.06,2744.0,1.7,124.0,3166.1009883466886,3078.341095461568,-87.75989288512073,-2.771860190440363,232.113,221.06,699898.284483919,714522.986690871,2.0895468000376183,0.7036167048174369
27,Đồ chơi giáo dục,98.91,1833.0,1.5,663.0,1877.1456571587694,1889.5270857301978,12.381428571428387,0.6595880572298691,103.8555,98.91,185668.47694957387,196237.78025205256,5.692567460091368,6.022361488706302
28,Sản phẩm dưỡng ẩm,479.55,467.0,4.2,247.0,658.155611111111,793.2881111111111,135.13250000000005,20.531998469460248,503.52750000000003,479.55,315618.5233083333,399442.3793675,26.55859839293327,36.824597627663394
29,Dầu xả,102.65,2619.0,1.8,397.0,2656.323069317581,2684.0548874993997,27.731818181818653,1.0439926717552115,107.78250000000001,102.65,272671.5630654497,289294.1459119041,6.09619230534299,6.618188641220596
30,Mặt nạ ngủ,33.06,4796.0,3.9,226.0,3936.755043342257,3904.525043342257,-32.23000000000002,-0.8186945757396462,34.713,33.06,130149.12173289503,135537.77782953976,4.140370695473354,3.7310234076035313
31,Serum vitamin C,298.11,1004.0,1.8,51.0,2777.433527101305,2809.453172369386,32.019645268080694,1.1528501026448794,313.01550000000003,298.11,827980.7087641701,879402.3894757896,6.210492607777141,6.786917659099581
32,Bánh kẹo,350.64,3546.0,4.7,15.0,3114.3197411283677,3109.0077032074782,-5.312037920889452,-0.17056816134636246,368.172,350.64,1092005.0740292508,1144649.5841053037,4.820903430586333,4.735619349913152
33,Phụ kiện điện thoại,36.62,1277.0,1.2,35.0,2071.8070306558825,2157.2236833116976,85.41665265581514,4.122809286382929,38.451,36.62,75869.57346261841,82947.40784701808,9.328949750702078,11.390354393893542
34,Văn phòng phẩm,472.9,3165.0,4.2,225.0,3086.7848931998105,3343.8136233585415,257.0287301587309,8.326745758182419,496.545,472.9,1459740.5759941903,1660353.935610567,13.74308304609155,17.90645592518276
35,Đồ handmade,359.92,1917.0,2.0,685.0,1921.2964593042072,1923.976939696364,2.6804803921568237,0.13951414833333703,377.91600000000005,359.92,691513.0216327703,727101.6691422912,5.146489855750007,5.216246929916675
36,Sản phẩm tập thể dục,468.2,2141.0,1.2,379.0,2364.9644163054254,2459.3433957662146,94.3789794607892,3.9907145667852846,491.61,468.2,1107276.3397142002,1209037.8067926287,9.19025029512454,11.185607578517184
